order_item_id,order_id,product_id,quantity,unit_price
60,7436425,17723,5,280.1
65,7210330,1649,3,333.65
342,2023385,12141,5,53.93
600,6933857,6374,4,188.91
1059,880933,16745,1,105.84
1597,6288027,16540,3,441.24
2210,4524045,4842,4,369.5
3406,3925995,18204,3,97.49
3463,4176807,13703,1,248.63
3794,3234581,6783,2,6.34
3824,402061,18451,1,451.29
4129,4556783,8520,1,174.02
4220,2857714,3126,4,360.62
5004,2161061,14052,5,91.89
5052,7882707,2949,2,347.97
5466,7463185,1966,1,349.85
5545,2364496,2228,5,121.98
6187,278112,8381,5,280.51
6891,3103341,6198,1,149.87
7305,966468,11044,2,170.11
7360,2472867,12807,1,343.12
7402,5274796,4011,5,193.44
7450,4849496,11146,3,456.29
7991,7463704,16729,2,25.26
8100,6738427,6898,4,457.75
8693,5790259,254,3,455.13
8732,6940734,13961,1,47.84
9554,6183597,4119,4,18.44
9991,3943480,16707,2,491.31
10296,1755748,1095,2,169.34
10559,4106629,2628,1,329.06
11058,1209710,16069,1,109.66
11116,6008624,3655,3,263.79
11639,4444539,17138,4,391.09
11868,114684,1759,2,66.38
12102,6601380,11149,5,131.97
12376,6459698,10436,4,399.17
13484,1708773,12959,2,479.15
13546,5245023,16032,4,122.79
13671,957728,12329,2,330.21
13681,5610100,14213,1,42.86
14396,3091836,8862,3,68.89
14911,860265,14389,4,49.94
14947,2453254,378,3,108.23
15186,522434,6979,3,348.8
15262,5886751,6950,1,212.85
15556,1831467,19279,5,56.15
15644,3730049,5571,5,278.95
16253,4884124,9329,4,426.3
16769,1114049,18816,3,339.13
17053,1485694,7436,1,235.65
17056,1570660,8988,5,247.66
18024,7050773,6907,5,214.46
18080,2008135,6089,5,150.56
18271,1711400,15887,2,471.78
18280,6952556,407,1,332.5
18909,2547820,11904,5,453.37
19195,7442184,11873,2,382.64
19780,1281996,404,1,128.08
19803,2713491,18961,5,325.5
20563,1524391,15427,2,251.43
20961,7970449,13895,5,395.36
21486,7849029,2006,1,326.68
21515,6774229,11135,1,226.96
21672,3626495,11682,4,451.94
22151,5916328,8476,5,264.41
22505,4201276,9883,2,173.25
22660,3669798,15306,2,438.6
23260,4912045,15509,4,156.7
23473,7733725,11205,4,122.68
23871,7805399,14187,2,355.69
24049,6640821,3840,1,414.83
24326,7648293,11248,1,189.91
25065,3497740,19819,3,148.34
25126,6999958,17044,5,118.86
25495,6945545,7517,5,418.76
25714,3304255,19485,1,202.74
26240,733065,18244,2,288.71
26279,447423,12583,1,208.71
26332,6052400,19847,3,186.28
26563,5643663,15383,5,153.13
26739,4093427,14734,4,234.58
26921,1255285,17026,1,16.97
27381,5461678,14199,4,440.63
28165,4962743,8253,4,197.19
28528,6566888,6789,3,106.92
28671,2897364,8930,4,341.36
29029,191154,10075,4,156.09
29471,2118833,11721,4,434.06
29811,1528208,15349,3,492.96
29890,6852316,4785,5,221.34
30164,3600847,18521,2,333.5
30789,4704364,17128,1,51.49
30853,4513333,8117,5,471.13
30876,5256915,13903,5,363.02
32151,6031199,11957,1,301.16
32709,7103485,690,4,332.5
32794,166058,12413,3,31.71
33433,4365043,19539,3,212.95
33513,961309,4717,5,307.34
33550,3084548,2981,4,162.74
33838,6373038,8294,1,389.97
35388,5691800,3927,4,93.96
35421,3759934,5924,4,300.91
35870,3181269,872,1,412.46
36033,4069496,9433,2,230.17
36710,1820769,2470,5,124.53
37450,5695557,8364,1,328.99
37524,5755656,19726,3,381.53
37632,5222122,7869,5,89.13
38108,1764238,7696,5,384.74
39107,2986745,3509,4,365.72
39471,928242,3673,5,144.35
39666,3564686,8859,5,496.74
40112,7301918,19702,2,214.62
40577,4447394,17926,1,471.02
40603,3322720,16098,1,241.18
41562,6495481,19401,5,123.48
41975,3912096,8737,4,203.96
42443,452072,9062,4,439.58
42643,5944129,7182,4,452.15
42719,192064,2246,5,348.12
43155,742223,11615,2,423.79
43389,49145,696,1,261.52
43825,7517283,17548,1,375.63
44545,6762389,13166,2,161.46
45793,758764,19364,4,331.88
46356,3617980,3234,2,179.11
46389,840627,4617,2,491.18
46415,4651518,6080,1,363.79
46871,5593063,19399,5,334.39
47709,1489198,8281,1,172.18
48281,4531113,16282,2,361.07
50344,7029736,14115,3,334.31
50838,1076534,8147,4,287.14
52063,7159522,392,1,186.19
52265,1429590,14950,5,472.12
52268,3739130,18264,2,415.61
53130,1261292,8741,5,248.18
53180,783117,13613,2,33.63
53585,6178974,11914,5,163.28
53678,4369571,17013,4,241.6
53771,5866966,7391,3,131.36
53876,7796309,4730,1,192.01
54116,6401279,11321,4,163.66
54336,1081379,16703,2,164.8
54643,6484683,5442,5,463.71
54683,233711,1038,5,44.45
54767,317460,7730,2,339.95
55594,1249307,10966,4,476.84
55642,4827345,7904,5,122.64
55896,7739788,1815,2,158.07
55908,1393203,11811,1,392.2
56197,6424597,18745,2,498.51
56551,4789928,4815,1,359.56
56885,4746846,11060,4,311.13
57048,1497877,1979,1,321.3
57415,4854210,15098,2,379.95
57799,7824356,15158,3,465.4
57800,2047068,9038,3,172.98
57964,5486419,13220,2,253.13
58539,955686,2250,1,140.02
58637,2272223,5319,5,137.38
58683,4781122,2114,2,199.71
59026,6242795,10988,4,254.34
59102,2735344,3039,2,380.72
59331,3737471,10930,1,414.96
59790,879003,5126,5,321.72
60421,3381992,359,1,486.28
60661,4270362,8009,2,267.89
60937,7030003,13401,2,423.33
62294,3858124,19835,2,323.12
63082,4371411,729,1,177.08
63296,2781324,12219,4,359.49
64414,6302828,19566,5,327.88
65156,4816156,16136,5,322.49
65255,7328639,78,1,322.69
65358,6756803,292,3,170.06
65976,1740068,6623,3,480.05
66044,3004160,14916,1,306.49
66182,3674050,18110,1,318.58
66438,3720756,8891,1,379.72
66611,4414339,12033,5,425.14
67017,5229762,235,4,352.06
67067,6980479,9935,1,427.03
67390,6036448,3422,4,287.73
67492,1514842,227,1,113.71
67865,6325877,3637,3,377.07
68181,4188285,15537,3,348.28
68320,2567283,11902,1,304.33
68952,7087723,6660,2,243.27
69865,848405,16097,5,366.2
70383,4505665,7459,5,194.87
70466,5457903,2008,4,316.53
70506,1627818,947,4,163.87
70568,3439329,1957,5,394.68
71380,5229163,19557,3,275.03
71518,1539543,3656,3,392.07
71595,1958951,6193,2,152.76
71668,4719027,11230,5,297.39
72178,5022354,14688,5,477.23
72189,4020664,4633,5,193.86
72398,6199566,3854,1,264.82
72591,3616038,8494,2,56.23
72728,4880067,2842,4,350.89
73126,1992613,13339,5,269.03
73536,1392829,4467,1,444.47
73841,3294988,7968,5,61.62
75110,4692338,2676,3,9.7
75527,5725526,8720,4,190.63
75610,547415,17119,1,454.45
75960,4327438,9115,5,134.16
75991,603357,7448,4,237.66
76520,6873427,2087,2,428.16
76772,1097752,18388,3,191.93
76796,914601,17978,2,377.94
77637,5010310,8101,5,252.82
77669,4723561,1866,3,13.77
77808,6295439,4297,2,136.58
78336,7703364,1755,1,401.67
78555,2658126,18749,5,240.84
79023,6196254,10095,2,467.36
79425,3792254,5431,3,209.18
79651,5251292,497,4,107.73
79911,5809374,13808,1,389.05
80588,3120880,11088,1,295.49
80796,7828396,15772,5,253.22
80819,4195207,15499,2,446.34
80868,2412785,13496,1,343.4
81379,2888004,1912,5,263.47
81429,2307507,1470,4,56.88
82064,2588935,14544,2,125.01
82675,5360619,8638,1,288.67
82752,4672194,16260,4,42.5
83329,1829096,439,3,94.33
83407,2192895,8793,2,325.31
83441,2997155,19208,5,143.92
83679,6161450,5359,4,268.58
84689,5386501,2740,2,149.81
84771,4161487,9009,1,40.37
84798,2709228,17559,5,289.5
84945,2160545,2770,5,169.56
85992,495844,18484,1,122.1
86103,6525614,19702,4,214.62
86522,6578665,7185,5,257.21
87089,7525349,9680,1,162.83
87444,2707305,14249,5,271.16
87458,3260280,7788,2,106.39
87759,7007859,4359,3,233.84
87836,5513897,634,4,341.46
87984,409804,15519,2,57.82
89512,2946746,524,5,369.85
89780,6581581,9305,5,227.93
90185,4406191,1058,2,28.84
90592,6258591,14612,4,170.53
90930,6587019,19385,1,225.64
91281,112191,11215,1,236.06
91341,2177098,639,5,403.24
91554,5935774,11252,5,5.39
92592,7691490,18948,5,293.24
92944,1680591,17901,3,31.57
93550,5155644,3722,5,392.44
94235,4536117,16582,4,176.58
94785,1418893,11717,4,16.56
94933,6792461,2807,1,46.66
96288,1271172,12504,4,231.65
96291,2015973,14316,1,59.38
96370,1653445,2747,3,110.99
96374,1963408,19290,1,165.96
96683,1141652,15541,2,60.32
97182,327892,14471,4,381.31
97320,1368601,11507,4,481.8
97771,7106723,13593,3,126.45
98189,2246277,1327,1,490.28
98242,1381499,9334,1,236.4
98518,7631553,8642,1,446.31
98525,174729,10340,3,130.09
98707,2185241,11918,4,494.58
99560,4599490,16122,5,234.81
99724,5962645,17993,1,398.31
100004,3651047,3445,4,82.51
100192,1526025,11779,5,313.86
100871,3621229,13344,3,283.86
101458,5858972,16883,5,398.07
102248,4347116,4034,4,173.02
102434,6748016,17722,5,35.6
102818,411841,18082,1,221.3
103027,1695096,13646,3,383.46
103103,3431613,18665,2,451.69
103112,7944412,12560,3,324.68
103228,2011437,19811,5,436.02
103425,2824181,14219,2,362.38
103882,6448088,800,1,99.78
103886,3825260,4112,3,13.11
104212,713071,8937,4,397.57
104214,1038359,12383,2,115.92
104577,3241834,10717,5,140.41
104725,7102921,2310,3,269.06
104806,6468561,5481,2,421.32
105674,1510599,15315,5,26.08
106339,4426379,10128,4,234.83
106731,5751992,2845,1,173.69
107384,5057895,4814,4,29.05
108057,7479779,13017,3,279.45
108980,4524045,16800,1,425.66
109135,4342050,9727,2,334.65
109195,6993919,1841,1,486.86
109202,7362122,344,2,22.87
109546,7874613,1901,2,122.37
109567,7831012,14679,2,404.68
109934,5415227,3902,5,178.82
110022,7489921,9708,1,137.08
110149,2688578,3338,1,205.72
110446,7387516,15676,1,12.93
110779,156431,3401,5,216.32
110802,1108856,4981,3,480.92
111109,4407055,16813,2,371.84
111201,2572532,2371,1,216.1
111594,950739,4229,2,434.24
111811,1563742,17205,1,398.96
112030,6759026,7003,2,359.82
112124,3673338,5454,1,394.48
112561,4568780,16587,2,482.98
112833,3860242,12220,1,280.37
113604,4076070,9594,3,59.87
113981,37737,1692,2,374.96
114052,4024013,4390,3,93.05
114158,100177,14115,2,334.31
114273,1440796,10253,4,481.02
114367,5499797,12460,3,410.87
115249,925202,11030,5,193.95
115273,7030003,5715,1,185.49
115365,8140,3481,4,12.83
115411,1459023,8763,1,125.69
115454,3213040,9093,4,265.85
115559,6908739,18751,3,482.78
117460,1441117,4717,3,307.34
118581,1817574,3098,1,287.38
118712,2256950,3841,4,452.45
118809,7366077,3524,2,319.43
119261,3649964,2497,3,410.43
119401,6800051,15255,4,404.91
119414,780359,18714,5,197.0
119654,1524903,13038,3,415.46
120227,5193191,18150,4,169.8
120575,7831128,3317,2,62.19
120635,5818956,19462,5,292.02
122285,2334555,14272,1,256.52
122384,4667080,9948,5,157.36
122524,969939,9118,3,139.25
123003,4429422,11086,1,242.63
123117,949509,13947,4,59.92
123894,6985986,19364,3,331.88
124546,2989185,6556,3,83.59
124700,7910987,18417,5,375.73
125248,5262917,5863,2,136.31
125283,5298914,953,5,38.94
125682,2262276,5582,4,285.54
125815,6305698,6016,1,275.56
126128,1953302,19057,5,262.36
126149,1924458,19536,3,383.15
126467,5026868,18364,5,107.98
126812,2446466,4410,1,378.38
128112,5027874,16315,4,138.62
128380,4700647,5422,4,265.3
129362,2002997,9463,4,52.18
129363,7868970,18505,3,292.0
130320,1235614,6872,4,265.52
130426,3191967,19231,3,315.06
130878,1155791,16576,3,226.1
131005,1888927,8686,2,298.2
131051,134428,12557,2,390.93
131056,4370855,2899,4,247.49
131284,6767751,12269,1,239.91
131908,3845591,8866,5,295.36
132031,3715652,5529,4,199.17
133835,2277657,15268,5,358.7
133948,3521057,17275,4,185.7
134609,978036,1499,4,204.19
