order_id,customer_id,order_date,total_amount,payment_method,shipping_country
87,105313,2025-07-06,229.68,Bank Transfer,Guyana
806,738390,2025-05-01,933.37,Credit Card,Marshall Islands
1778,177137,2022-09-15,1804.2,Cash,Wallis and Futuna
1960,1614641,2024-08-11,2241.65,Cash,Micronesia
2609,416157,2024-03-21,401.22,Bank Transfer,Mauritania
3264,1134425,2022-12-19,134.23,Cash,Iraq
4207,810757,2024-07-07,3954.29,Cash,Turkmenistan
4871,916828,2024-11-12,1551.05,Cash,Heard Island and McDonald Islands
5251,1338169,2022-05-08,425.97,Bank Transfer,Fiji
5563,1650337,2024-11-16,1303.25,Credit Card,Hong Kong
6183,1135495,2025-08-08,2165.83,Credit Card,Venezuela
6789,1406046,2022-05-14,937.09,Bank Transfer,Austria
7137,1917184,2025-03-13,1434.23,Bank Transfer,Morocco
7378,221999,2022-12-27,0.0,Credit Card,Honduras
7621,1664243,2023-09-17,362.04,Cash,Lithuania
7730,65125,2023-06-22,1175.08,Bank Transfer,Martinique
8090,771258,2025-03-14,1489.15,PayPal,Uzbekistan
8140,1079298,2023-10-04,2488.97,PayPal,Bahamas
8150,318717,2021-12-11,5579.7,Bank Transfer,Estonia
9486,246713,2025-06-30,2278.9,PayPal,Ethiopia
9537,339310,2022-07-17,4072.67,Credit Card,Afghanistan
9566,1172045,2023-09-26,359.37,Bank Transfer,Vanuatu
9638,1707844,2022-03-19,20.42,Credit Card,Dominican Republic
10140,1176470,2025-01-12,817.73,Bank Transfer,Antarctica (the territory South of 60 deg S)
10551,1477954,2022-01-27,646.96,Cash,Gabon
10763,765310,2023-09-30,2160.29,Bank Transfer,Burkina Faso
11949,30449,2022-10-04,1197.47,PayPal,Kiribati
12891,1288584,2023-01-26,1735.33,Bank Transfer,Panama
13012,1759294,2021-10-27,764.46,Credit Card,Maldives
13364,653218,2024-11-02,824.43,Cash,Singapore
13444,1352553,2023-09-12,1028.6,Cash,Cape Verde
14047,1698366,2024-10-13,883.95,Bank Transfer,Ireland
14133,1081004,2023-11-06,1393.06,Bank Transfer,Liechtenstein
14161,605435,2023-11-25,1235.38,Bank Transfer,Slovakia (Slovak Republic)
14566,1289374,2024-04-18,615.64,PayPal,Poland
15110,1106488,2021-12-27,1705.44,PayPal,Central African Republic
15282,321148,2022-06-18,1695.73,Cash,Albania
15869,1042341,2022-03-12,166.33,Bank Transfer,Solomon Islands
16025,1050134,2024-02-22,3679.37,PayPal,Guadeloupe
16851,85977,2025-02-26,1487.8,Bank Transfer,Jordan
17117,261491,2024-05-11,532.5,Credit Card,Tokelau
17957,221999,2025-03-30,3556.8,Bank Transfer,Cape Verde
18107,1375776,2024-02-26,4499.75,PayPal,Kenya
18941,1084157,2023-12-31,5365.29,Credit Card,Czech Republic
19317,1659134,2023-09-05,636.18,Bank Transfer,Saint Kitts and Nevis
19583,1038815,2024-01-30,0.0,Bank Transfer,Norway
19678,793697,2025-03-01,145.2,Credit Card,Tuvalu
20087,1307343,2024-08-05,859.89,Credit Card,Mauritius
20147,1799745,2024-01-10,1662.68,Bank Transfer,Comoros
20210,933422,2022-04-19,954.27,PayPal,Romania
20937,1182950,2023-07-01,1318.16,Bank Transfer,Ireland
21100,1830935,2023-11-01,2131.35,Credit Card,Belarus
21153,1314599,2025-08-29,3999.86,Cash,Czech Republic
21683,1407073,2022-07-14,3514.53,Credit Card,Chile
22853,1809019,2025-06-24,1881.15,Credit Card,Niger
23181,1323517,2024-07-17,3479.39,Bank Transfer,Saint Vincent and the Grenadines
23293,1470746,2024-09-12,2946.64,Bank Transfer,Honduras
23904,1186165,2025-03-25,519.94,Credit Card,Equatorial Guinea
25120,1382259,2023-02-26,1446.75,Credit Card,Congo
25207,1217772,2023-06-11,1608.92,PayPal,Oman
25266,447187,2023-06-22,1560.44,Bank Transfer,Japan
25801,1881570,2025-04-01,3678.52,Cash,Nigeria
25983,1086079,2025-05-20,1621.1,Bank Transfer,Guinea-Bissau
27253,533638,2022-09-05,3448.06,PayPal,Somalia
27767,1311909,2024-02-29,1327.08,Cash,Zambia
28365,932891,2023-12-05,1681.24,Cash,South Georgia and the South Sandwich Islands
28730,538819,2023-08-01,5994.71,Credit Card,Monaco
28818,237376,2022-12-07,0.0,Bank Transfer,Pakistan
29521,248152,2025-08-14,1092.19,Bank Transfer,Saint Helena
30270,1337526,2025-06-03,863.05,Bank Transfer,Myanmar
30292,64501,2021-12-11,187.32,PayPal,Sudan
30540,521169,2022-12-22,517.6,Bank Transfer,Egypt
30708,665882,2023-10-29,221.97,Bank Transfer,United Arab Emirates
30722,80694,2024-01-19,182.4,PayPal,Ethiopia
31004,279196,2022-05-21,1786.47,Bank Transfer,Mauritius
31035,712410,2024-12-29,0.0,PayPal,Belgium
31250,555836,2022-06-16,0.0,Bank Transfer,Fiji
31671,1875832,2024-12-16,0.0,PayPal,Saint Vincent and the Grenadines
31945,483392,2024-08-10,1626.6,Bank Transfer,United Arab Emirates
32030,899201,2024-02-05,2285.16,Cash,Iceland
32173,1035340,2024-03-28,2166.38,Cash,Western Sahara
32396,354308,2024-03-13,705.55,Bank Transfer,Micronesia
32766,1270164,2025-07-10,5130.24,Bank Transfer,Saint Barthelemy
32917,496827,2021-11-19,0.0,PayPal,Tuvalu
33088,1180440,2023-11-24,2498.25,Bank Transfer,Nauru
33261,1312487,2023-08-19,2523.42,PayPal,Mauritius
33770,1045708,2024-09-21,2610.0,Bank Transfer,French Guiana
34170,1450512,2022-04-06,1123.41,Cash,Niue
34486,552650,2022-05-09,2910.81,Cash,Falkland Islands (Malvinas)
35506,1075969,2023-06-02,889.35,Credit Card,Tunisia
35792,573985,2024-12-13,1887.7,PayPal,Malawi
36210,136585,2023-06-11,4311.44,Credit Card,Fiji
36748,1223319,2023-02-27,1437.07,PayPal,Solomon Islands
37063,1786075,2025-01-07,0.0,Bank Transfer,Singapore
37313,366764,2022-01-23,888.69,Bank Transfer,United States Virgin Islands
37737,412672,2021-11-02,1213.72,PayPal,Poland
38310,160796,2021-09-14,3749.47,PayPal,Slovakia (Slovak Republic)
38753,329428,2023-06-09,1602.57,Cash,Saint Helena
38803,437080,2022-01-27,777.41,Credit Card,Mali
39226,1934339,2023-01-27,2492.0,Cash,Indonesia
39395,1819394,2022-10-04,1425.2,Credit Card,Sudan
39939,1831814,2025-05-20,973.47,Credit Card,Namibia
40187,775097,2024-04-07,237.25,PayPal,Cuba
41154,1681634,2023-11-05,766.39,Cash,Canada
42064,1347727,2024-10-29,1970.58,Credit Card,Italy
42394,774083,2025-04-29,701.0,PayPal,Gabon
42675,891528,2025-02-22,0.0,Cash,Yemen
43749,1036929,2023-09-12,3171.45,Credit Card,Brunei Darussalam
44156,735777,2025-03-07,892.24,Bank Transfer,Egypt
44818,1318431,2023-05-30,3842.22,Credit Card,Lebanon
44926,945953,2023-12-16,471.82,Credit Card,Timor-Leste
45146,1292329,2023-06-19,0.0,Cash,Niger
46515,601979,2024-11-21,4266.31,Credit Card,Saint Helena
47447,555384,2024-07-01,0.0,Bank Transfer,Papua New Guinea
48807,1110854,2022-05-30,2903.55,Bank Transfer,United States Minor Outlying Islands
49100,940183,2024-01-18,1246.36,Credit Card,Saint Kitts and Nevis
49145,1547658,2024-08-02,1229.72,PayPal,Korea
