order_id,customer_id,shipping_id,order_date,payment_method,total_amount,order_status
87,105313,1,2025-07-06,Bank Transfer,229.68,Delivered
806,738390,2,2025-05-01,Credit Card,933.37,Delivered
1778,177137,3,2022-09-15,Cash,1804.2,Delivered
1960,1614641,4,2024-08-11,Cash,2241.65,Delivered
2609,416157,5,2024-03-21,Bank Transfer,401.22,Refunded
3264,1134425,6,2022-12-19,Cash,134.23,Delivered
4207,810757,7,2024-07-07,Cash,3954.29,Processing
4871,916828,8,2024-11-12,Cash,1551.05,Delivered
5251,1338169,9,2022-05-08,Bank Transfer,425.97,Delivered
5563,1650337,10,2024-11-16,Credit Card,1303.25,Shipped
6183,1135495,11,2025-08-08,Credit Card,2165.83,Processing
6789,1406046,12,2022-05-14,Bank Transfer,937.09,Delivered
7137,1917184,13,2025-03-13,Bank Transfer,1434.23,Delivered
7378,221999,14,2022-12-27,Credit Card,0.0,Processing
7621,1664243,15,2023-09-17,Cash,362.04,Shipped
7730,65125,16,2023-06-22,Bank Transfer,1175.08,Delivered
8090,771258,17,2025-03-14,PayPal,1489.15,Delivered
8140,1079298,18,2023-10-04,PayPal,2488.97,Delivered
8150,318717,19,2021-12-11,Bank Transfer,5579.7,Cancelled
9486,246713,20,2025-06-30,PayPal,2278.9,Delivered
9537,339310,21,2022-07-17,Credit Card,4072.67,Shipped
9566,1172045,22,2023-09-26,Bank Transfer,359.37,Delivered
9638,1707844,23,2022-03-19,Credit Card,20.42,Delivered
10140,1176470,24,2025-01-12,Bank Transfer,817.73,Processing
10551,1477954,25,2022-01-27,Cash,646.96,Delivered
10763,765310,26,2023-09-30,Bank Transfer,2160.29,Delivered
11949,30449,27,2022-10-04,PayPal,1197.47,Cancelled
12891,1288584,28,2023-01-26,Bank Transfer,1735.33,Delivered
13012,1759294,29,2021-10-27,Credit Card,764.46,Delivered
13364,653218,30,2024-11-02,Cash,824.43,Delivered
13444,1352553,31,2023-09-12,Cash,1028.6,Confirmed
14047,1698366,32,2024-10-13,Bank Transfer,883.95,Delivered
14133,1081004,33,2023-11-06,Bank Transfer,1393.06,Cancelled
14161,605435,34,2023-11-25,Bank Transfer,1235.38,Delivered
14566,1289374,35,2024-04-18,PayPal,615.64,Delivered
15110,1106488,36,2021-12-27,PayPal,1705.44,Delivered
15282,321148,37,2022-06-18,Cash,1695.73,Confirmed
15869,1042341,38,2022-03-12,Bank Transfer,166.33,Delivered
16025,1050134,39,2024-02-22,PayPal,3679.37,Delivered
16851,85977,40,2025-02-26,Bank Transfer,1487.8,Delivered
17117,261491,41,2024-05-11,Credit Card,532.5,Pending
17957,221999,42,2025-03-30,Bank Transfer,3556.8,Refunded
18107,1375776,43,2024-02-26,PayPal,4499.75,Delivered
18941,1084157,44,2023-12-31,Credit Card,5365.29,Delivered
19317,1659134,45,2023-09-05,Bank Transfer,636.18,Processing
19583,1038815,46,2024-01-30,Bank Transfer,0.0,Delivered
19678,793697,47,2025-03-01,Credit Card,145.2,Delivered
20087,1307343,48,2024-08-05,Credit Card,859.89,Delivered
20147,1799745,49,2024-01-10,Bank Transfer,1662.68,Delivered
20210,933422,50,2022-04-19,PayPal,954.27,Delivered
20937,1182950,51,2023-07-01,Bank Transfer,1318.16,Delivered
21100,1830935,52,2023-11-01,Credit Card,2131.35,Delivered
21153,1314599,53,2025-08-29,Cash,3999.86,Confirmed
21683,1407073,54,2022-07-14,Credit Card,3514.53,Delivered
22853,1809019,55,2025-06-24,Credit Card,1881.15,Processing
23181,1323517,56,2024-07-17,Bank Transfer,3479.39,Delivered
23293,1470746,57,2024-09-12,Bank Transfer,2946.64,Delivered
23904,1186165,58,2025-03-25,Credit Card,519.94,Delivered
25120,1382259,59,2023-02-26,Credit Card,1446.75,Delivered
25207,1217772,60,2023-06-11,PayPal,1608.92,Delivered
25266,447187,61,2023-06-22,Bank Transfer,1560.44,Shipped
25801,1881570,62,2025-04-01,Cash,3678.52,Refunded
25983,1086079,63,2025-05-20,Bank Transfer,1621.1,Delivered
27253,533638,64,2022-09-05,PayPal,3448.06,Delivered
27767,1311909,65,2024-02-29,Cash,1327.08,Delivered
28365,932891,66,2023-12-05,Cash,1681.24,Delivered
28730,538819,67,2023-08-01,Credit Card,5994.71,Confirmed
28818,237376,68,2022-12-07,Bank Transfer,0.0,Delivered
29521,248152,69,2025-08-14,Bank Transfer,1092.19,Pending
30270,1337526,70,2025-06-03,Bank Transfer,863.05,Delivered
30292,64501,71,2021-12-11,PayPal,187.32,Cancelled
30540,521169,72,2022-12-22,Bank Transfer,517.6,Delivered
30708,665882,73,2023-10-29,Bank Transfer,221.97,Delivered
30722,80694,74,2024-01-19,PayPal,182.4,Delivered
31004,279196,75,2022-05-21,Bank Transfer,1786.47,Delivered
31035,712410,76,2024-12-29,PayPal,0.0,Delivered
31250,555836,77,2022-06-16,Bank Transfer,0.0,Pending
31671,1875832,78,2024-12-16,PayPal,0.0,Delivered
31945,483392,79,2024-08-10,Bank Transfer,1626.6,Delivered
32030,899201,80,2024-02-05,Cash,2285.16,Delivered
32173,1035340,81,2024-03-28,Cash,2166.38,Processing
32396,354308,82,2024-03-13,Bank Transfer,705.55,Delivered
32766,1270164,83,2025-07-10,Bank Transfer,5130.24,Delivered
32917,496827,84,2021-11-19,PayPal,0.0,Delivered
33088,1180440,85,2023-11-24,Bank Transfer,2498.25,Refunded
33261,1312487,86,2023-08-19,PayPal,2523.42,Processing
33770,1045708,87,2024-09-21,Bank Transfer,2610.0,Delivered
34170,1450512,88,2022-04-06,Cash,1123.41,Delivered
34486,552650,89,2022-05-09,Cash,2910.81,Delivered
35506,1075969,90,2023-06-02,Credit Card,889.35,Delivered
35792,573985,91,2024-12-13,PayPal,1887.7,Shipped
36210,136585,92,2023-06-11,Credit Card,4311.44,Cancelled
36748,1223319,93,2023-02-27,PayPal,1437.07,Processing
37063,1786075,94,2025-01-07,Bank Transfer,0.0,Delivered
37313,366764,95,2022-01-23,Bank Transfer,888.69,Delivered
37737,412672,96,2021-11-02,PayPal,1213.72,Cancelled
38310,160796,97,2021-09-14,PayPal,3749.47,Delivered
38753,329428,98,2023-06-09,Cash,1602.57,Delivered
38803,437080,99,2022-01-27,Credit Card,777.41,Pending
