product_id,store_id,category_id,brand_id,name,price,stock_quantity
1,7,1,1,Plan Get,278.27,533
2,4,2,1,Field Yet,479.56,5
3,8,1,1,Technology Her,332.59,268
4,5,3,2,Decade Pick,198.16,944
5,7,2,3,Finally Develop,307.6,862
6,10,4,1,Play Several,406.48,231
7,3,4,3,Various Account,200.95,267
8,7,2,1,Build Of,262.73,198
9,8,5,4,Save Keep,155.47,355
10,5,4,1,Grow Think,172.39,227
11,4,5,2,Usually Generation,79.13,906
12,8,4,3,Act About,6.17,220
13,8,1,2,See Fine,299.74,84
14,3,1,2,Agreement See,387.12,194
15,6,6,1,Pay Include,324.84,515
16,5,2,2,Same One,152.27,199
17,2,3,2,Option Early,65.91,215
18,8,1,1,Expert Protect,273.8,238
19,6,3,4,Lot Stage,188.14,596
20,2,4,4,To Account,117.05,789
21,5,5,1,Speak Indicate,49.2,234
22,1,1,1,Rise Green,54.23,448
23,10,2,3,Manage Family,217.74,920
24,6,3,4,Pass Likely,37.35,340
26,9,2,3,Learn Occur,351.39,94
27,1,1,3,Eat Add,336.82,535
28,10,6,2,Bit Consumer,445.82,165
29,3,6,3,Admit Car,192.6,667
30,7,6,4,Similar Doctor,137.83,162
31,4,6,1,Election Buy,7.42,55
33,9,1,1,Also Tree,324.5,601
34,3,3,1,In Talk,334.64,841
35,5,3,2,Later Charge,320.73,430
36,3,5,2,Upon Reality,339.19,132
37,7,1,3,Realize Response,119.22,184
38,5,1,1,Couple Wish,371.47,243
40,9,2,2,Front Statement,236.34,294
41,7,5,1,Past Something,254.19,904
42,2,4,4,Technology Event,316.33,16
43,4,1,3,Interview Do,78.97,710
44,9,1,4,Least History,470.25,386
45,2,5,3,Notice What,318.83,830
46,10,3,4,Blue Learn,196.65,598
47,9,5,4,Win General,150.33,185
48,10,5,4,Major Money,342.7,8
49,5,6,2,Human Artist,350.45,137
50,2,5,4,Rich Research,150.78,323
51,4,1,4,Degree Personal,66.17,982
52,7,3,2,Head Eat,261.41,718
53,8,4,1,Education Although,105.99,75
54,3,4,3,Short Off,485.4,636
55,1,2,4,Green Person,234.79,381
56,4,1,1,Again Gun,18.18,17
57,2,2,3,Daughter Fire,457.97,720
58,8,5,3,Truth Soldier,212.32,708
59,4,1,4,Full Later,461.81,156
61,2,1,3,From Carry,293.61,869
62,6,6,4,Certainly Follow,235.23,828
63,6,2,3,Near Hear,333.03,248
64,10,1,4,Mrs Cause,71.66,137
65,4,6,3,Sure Occur,425.22,908
66,6,5,3,Line Toward,161.26,506
67,2,1,3,Treat Past,405.81,474
68,10,3,1,Owner Interesting,8.11,762
69,2,5,1,Big Term,120.05,764
70,10,2,1,Term Protect,274.06,107
72,4,6,3,Rich Conference,75.39,131
73,8,4,4,Dinner Clear,398.68,584
74,7,2,1,Over Production,13.53,988
75,9,2,2,Policy Back,221.66,71
76,8,5,3,Near Pass,296.41,569
77,5,5,4,Lot Change,43.68,35
78,2,6,3,Idea Eye,322.69,149
80,5,3,2,Dog Whose,129.36,49
81,8,4,3,Season Federal,440.99,465
82,10,3,4,Pm Itself,132.27,321
83,9,4,3,Station Plan,354.78,809
84,9,5,2,Others Prove,159.31,470
85,1,6,3,Thing Out,37.41,806
86,9,5,1,Write All,95.45,686
87,7,4,3,Teach Body,427.19,480
88,9,2,4,Marriage Poor,266.79,716
89,8,6,1,Stop Reason,219.35,240
90,1,4,1,Include Understand,156.8,422
91,8,5,2,Order All,326.43,362
92,8,6,3,Billion Step,328.54,955
93,3,1,2,Image Executive,170.5,881
94,1,1,2,Account Him,110.61,109
95,8,5,1,Happen Election,388.02,494
96,3,5,4,As Number,74.7,583
97,3,1,1,Free His,240.88,191
98,1,2,4,Foreign Type,171.81,383
99,5,1,2,Whether Painting,422.93,336
100,10,1,4,Service Public,405.6,612
101,7,4,2,Think Increase,59.96,447
102,10,1,1,Simple Morning,388.69,986
103,9,4,3,Full To,417.9,571
104,7,2,4,Act Design,430.59,203
105,9,1,3,Whom Spring,209.67,183
106,8,4,2,Debate Much,89.43,533
107,2,4,1,Window Son,459.18,355
108,1,6,2,Seek Get,57.24,278
109,7,2,3,Political Stage,85.44,344
110,7,4,1,Letter Generation,224.63,15
111,8,4,2,Nation Its,203.74,722
112,5,4,2,Manager Be,268.64,1
113,3,1,3,Research Apply,341.94,680
114,8,2,2,Turn Build,299.21,743
115,6,4,2,Increase Well,483.93,334
116,3,6,3,Water Last,414.9,135
117,1,5,1,Loss Later,73.07,614
118,3,5,2,Letter Keep,290.25,899
119,5,2,2,Office Five,469.78,446
120,3,6,4,Dog Before,192.94,319
121,1,1,1,Fund Kind,96.37,272
122,5,6,2,So Others,188.39,448
124,10,2,4,Expert Know,23.22,117
125,7,6,2,Physical Team,458.09,936
127,7,5,1,Much Mention,494.3,272
128,9,6,3,Memory Employee,130.28,112
129,10,4,2,Tough Thought,71.82,374
130,10,1,3,Bed Charge,62.33,813
131,3,6,3,Risk Note,163.02,373
133,7,6,4,Write Mission,337.39,390
134,1,1,1,Treatment Recent,403.83,340
135,4,4,4,Degree Ahead,481.64,667
136,4,1,3,Mention Find,53.51,164
137,5,3,2,To Goal,412.07,7
138,7,4,4,Because Beyond,409.62,957
139,7,4,2,Beautiful Marriage,283.82,516
140,4,4,2,Appear Majority,92.45,933
141,7,4,1,Add Ever,194.84,673
143,3,5,4,Common Someone,17.41,50
144,6,1,3,Table Close,26.6,601
145,2,5,2,National Buy,127.05,98
146,10,1,1,Professor President,80.13,601
147,9,3,2,Especially Receive,391.49,868
148,5,6,3,President Scientist,153.51,208
149,6,6,2,Enough Past,484.35,557
151,4,6,3,Entire Those,405.2,851
152,10,1,4,Early Technology,139.63,816
153,7,3,4,Risk Season,76.74,509
154,9,6,4,Toward Cause,281.1,448
155,7,6,2,Ready May,146.69,84
156,1,1,2,Project Middle,133.14,724
157,1,4,2,Present Almost,24.76,697
158,9,2,2,Fine Week,144.43,508
159,9,5,1,Practice City,185.51,489
160,4,5,1,Hard Another,28.45,738
161,9,4,1,Half Order,430.86,82
162,3,5,4,Head Subject,109.14,818
163,7,6,3,Increase Color,486.03,641
164,6,6,4,Water Miss,67.91,361
165,8,2,2,Capital Answer,273.8,310
166,9,6,2,Avoid Course,225.66,326
167,5,4,3,Property Goal,262.21,522
168,1,4,2,Worker Than,95.13,456
169,3,2,1,Two Boy,60.98,323
170,10,4,4,Occur State,293.27,693
171,8,2,4,Trial Up,171.36,857
172,6,4,2,Speech Executive,251.17,932
173,8,2,2,Performance Not,309.14,295
174,9,4,3,Author Still,442.93,405
175,4,6,4,Office Anything,247.98,325
176,1,4,3,Develop Serve,339.7,56
177,1,5,4,Citizen Wrong,53.54,21
178,10,4,1,Agent Light,435.63,661
179,4,6,4,Simply Citizen,437.05,340
180,7,4,3,Rule Animal,38.44,999
181,2,5,1,Risk Many,364.98,948
183,3,4,3,Collection Letter,6.15,59
184,1,1,4,Hold Blue,472.88,734
185,5,1,3,Sport Model,220.23,852
187,1,1,3,Attorney Break,382.13,658
