shipping_id,customer_address_id,shipping_status,shipping_cost
1,5235,Delivered,11.36
2,5236,Pending,24.87
3,2734,Delivered,14.16
4,3876,Delivered,25.87
5,4782,Delivered,41.25
6,5237,Cancelled,26.63
7,5238,Delivered,38.87
8,5239,In Transit,37.52
9,2051,Delivered,26.9
10,2712,Pending,15.27
11,3620,Delivered,13.36
12,3418,Delivered,41.96
13,5240,Delivered,27.65
14,2036,Shipped,25.66
15,5178,Delivered,7.24
16,5241,Delivered,19.95
17,4362,Delivered,22.75
18,5242,Delivered,49.16
19,3369,Delivered,13.37
20,5243,Pending,18.51
21,3793,In Transit,23.75
22,5244,Delivered,5.46
23,5245,In Transit,21.98
24,780,Processing,26.52
25,3608,In Transit,42.57
26,5246,Delivered,20.22
27,2672,Delivered,48.51
28,2087,Shipped,23.79
29,898,In Transit,32.17
30,598,Delivered,28.81
31,2375,Delivered,42.62
32,3111,Delivered,23.29
33,24,In Transit,6.36
34,2723,Delivered,46.33
35,3771,Delivered,22.7
36,391,Delivered,12.94
37,4103,Delivered,40.11
38,5247,Delivered,16.69
39,3509,Delivered,6.14
40,3630,Delivered,42.54
41,5164,Delivered,26.34
42,2036,Cancelled,38.4
43,3917,Delivered,19.73
44,5248,In Transit,24.31
45,4883,Shipped,5.4
46,2427,Delivered,34.53
47,5249,Delivered,25.26
48,5250,Delivered,27.51
49,5251,Delivered,27.49
50,5252,Delivered,16.46
51,2329,Delivered,8.46
52,3802,Delivered,6.24
53,5253,Shipped,28.71
54,26,In Transit,13.14
55,740,Delivered,23.11
56,714,In Transit,25.49
57,5254,Shipped,7.68
58,5064,Shipped,47.47
59,2957,Delivered,9.65
60,5255,Delivered,42.62
61,874,Delivered,34.31
62,5256,Cancelled,32.3
63,2823,Shipped,9.8
64,5257,Shipped,40.07
65,5258,Delivered,44.74
66,4689,Delivered,18.0
67,498,Delivered,23.19
68,2070,Shipped,6.46
69,5233,Delivered,9.66
70,5259,In Transit,31.04
71,5260,Shipped,43.54
72,5261,Shipped,6.33
73,5262,Cancelled,23.59
74,5263,Delivered,30.59
75,3957,Cancelled,9.3
76,3082,Delivered,16.98
77,2289,Delivered,17.09
78,2071,Delivered,7.72
79,2642,Delivered,44.08
80,5264,Delivered,44.76
81,483,Delivered,46.47
82,672,Delivered,8.62
83,242,Delivered,25.05
84,5265,Delivered,44.97
85,3731,In Transit,47.36
86,162,Shipped,13.92
87,5079,Shipped,42.58
88,3453,Delivered,46.26
89,1486,Shipped,15.07
90,2505,Shipped,41.38
91,5266,Delivered,17.54
92,5267,Delivered,49.05
93,2915,In Transit,5.24
94,441,Delivered,30.33
