stock_id,product_id,quantity_change,movement_type,change_date
1,12500,-22,OUT,2022-12-10
2,12500,272,IN,2022-09-12
3,12500,-92,OUT,2024-01-06
4,12500,-24,OUT,2025-10-26
5,9467,-41,ADJUSTMENT,2023-09-14
6,9467,35,ADJUSTMENT,2022-12-17
7,15625,-43,OUT,2023-08-02
8,302,257,IN,2025-08-13
9,302,-76,OUT,2022-07-10
10,302,407,IN,2023-02-13
11,302,295,IN,2025-11-08
12,302,-73,OUT,2023-07-15
13,14589,487,IN,2022-04-29
14,12222,-66,OUT,2025-04-28
15,12222,-54,OUT,2023-08-10
16,3089,222,IN,2023-11-24
17,3089,-1,ADJUSTMENT,2024-11-15
18,3089,61,IN,2024-12-16
19,3089,467,IN,2023-02-17
20,3089,-18,OUT,2021-12-11
21,11352,463,IN,2023-07-19
22,2137,468,IN,2024-03-24
23,1375,413,IN,2023-03-24
24,1375,112,IN,2021-02-23
25,1375,235,IN,2025-11-06
26,18177,-80,OUT,2025-11-27
27,18177,-37,OUT,2022-06-10
28,18177,-43,OUT,2022-12-29
29,18177,16,ADJUSTMENT,2024-10-07
30,5379,-34,OUT,2021-11-19
31,5379,-63,OUT,2025-11-14
32,4129,-72,OUT,2025-04-09
33,18057,-10,OUT,2023-06-02
34,18057,-60,OUT,2023-09-24
35,18057,42,IN,2025-07-12
36,11141,153,IN,2023-01-03
37,11141,-81,OUT,2023-11-24
38,11141,-29,OUT,2023-01-27
39,11141,-95,OUT,2023-05-20
40,11141,187,IN,2023-05-04
41,11210,-41,OUT,2024-01-07
42,11210,-40,OUT,2022-01-02
43,11210,102,IN,2023-01-06
44,16892,0,ADJUSTMENT,2021-08-24
45,16892,17,ADJUSTMENT,2021-09-11
46,17950,-16,OUT,2022-05-31
47,17950,-44,ADJUSTMENT,2024-06-23
48,17950,-5,OUT,2025-01-31
49,17950,215,IN,2023-11-11
50,8679,-55,OUT,2024-05-20
51,1440,275,IN,2024-07-01
52,18034,-86,OUT,2022-05-17
53,18034,-28,OUT,2024-02-24
54,18034,-63,OUT,2024-11-16
55,18034,330,IN,2021-04-04
56,270,-39,OUT,2022-05-11
57,12106,458,IN,2022-12-04
58,12106,409,IN,2022-06-29
59,16257,137,IN,2025-06-08
60,16257,-96,OUT,2024-01-16
61,16257,32,ADJUSTMENT,2024-02-13
62,16257,252,IN,2024-03-17
63,16257,37,ADJUSTMENT,2024-08-08
64,14073,30,ADJUSTMENT,2025-06-19
65,14073,-58,OUT,2022-06-06
66,2722,35,ADJUSTMENT,2025-11-05
67,2722,-41,OUT,2022-06-02
68,15696,-15,OUT,2025-10-09
69,15696,10,IN,2021-09-16
70,15696,343,IN,2025-03-18
71,15696,122,IN,2024-09-30
72,15696,499,IN,2021-03-25
73,2672,-34,OUT,2022-01-03
74,2672,-98,OUT,2023-03-25
75,2672,482,IN,2023-10-04
76,2672,106,IN,2022-06-26
77,8813,-47,OUT,2024-10-27
78,8813,176,IN,2024-09-21
79,8813,326,IN,2023-10-13
80,8813,-58,OUT,2024-07-17
81,8813,-75,OUT,2024-04-12
82,3015,468,IN,2022-04-26
83,3015,-56,OUT,2023-05-24
84,3015,-23,OUT,2024-03-15
85,3015,34,ADJUSTMENT,2022-06-19
86,15759,-15,ADJUSTMENT,2022-09-29
87,15759,461,IN,2025-01-17
88,16108,-24,ADJUSTMENT,2025-03-15
89,16108,45,ADJUSTMENT,2024-05-08
90,16108,-55,OUT,2025-10-14
91,16108,-47,OUT,2022-03-26
92,2345,-33,ADJUSTMENT,2025-10-22
93,2345,13,IN,2021-10-18
94,2345,12,ADJUSTMENT,2022-04-12
95,2345,-71,OUT,2025-02-16
96,12804,422,IN,2024-11-20
97,6591,160,IN,2023-09-20
98,6591,-53,OUT,2023-09-05
99,6591,-81,OUT,2025-05-25
100,6591,368,IN,2023-08-19
101,6591,-62,OUT,2021-03-16
102,7937,-34,OUT,2023-09-14
103,7937,-17,ADJUSTMENT,2025-03-28
104,2009,-5,OUT,2021-06-14
105,2009,-95,OUT,2024-02-07
106,2009,-18,OUT,2022-02-25
107,4884,-98,OUT,2024-05-27
108,4884,-16,OUT,2023-12-29
109,4884,180,IN,2024-09-25
110,17226,106,IN,2021-06-28
111,17226,-55,OUT,2023-10-12
112,17226,-26,OUT,2023-03-03
113,17226,-55,OUT,2021-02-04
114,10337,-67,OUT,2025-02-16
115,10337,-74,OUT,2024-06-16
116,10337,-17,OUT,2025-05-17
117,10337,-31,OUT,2024-12-30
118,4531,-42,OUT,2025-05-17
119,12161,-5,OUT,2021-02-08
120,12161,123,IN,2021-05-10
121,5998,-84,OUT,2023-07-01
122,5998,-1,OUT,2022-07-06
123,5998,449,IN,2024-02-27
124,5998,454,IN,2021-12-03
125,12234,478,IN,2024-09-09
126,12234,-56,OUT,2025-09-27
127,12234,41,ADJUSTMENT,2023-05-11
128,12569,-52,OUT,2022-06-02
129,8843,-17,ADJUSTMENT,2023-02-24
130,12551,-71,OUT,2025-09-26
131,12551,-55,OUT,2023-04-14
132,19895,-1,OUT,2022-02-22
133,19895,108,IN,2025-10-13
134,16499,362,IN,2023-07-26
135,16499,-60,OUT,2023-07-16
136,16499,235,IN,2024-09-23
137,16499,133,IN,2021-08-14
138,19050,-82,OUT,2021-07-09
139,19050,260,IN,2023-11-12
140,10200,-31,ADJUSTMENT,2024-03-29
141,10200,-34,OUT,2023-12-12
142,10200,-84,OUT,2022-03-22
143,18062,-89,OUT,2024-11-28
144,18062,-53,OUT,2021-09-13
145,18062,-15,OUT,2022-02-24
146,18062,-42,OUT,2022-07-11
147,18062,39,IN,2022-10-28
148,17094,-87,OUT,2021-06-11
149,17094,-85,OUT,2022-01-14
150,17094,194,IN,2024-12-25
151,12055,426,IN,2023-11-15
152,12055,-10,OUT,2025-04-01
153,12055,-90,OUT,2023-11-01
154,12055,-63,OUT,2023-09-05
155,12055,-31,ADJUSTMENT,2025-03-28
156,11732,-59,OUT,2025-04-20
157,11732,24,IN,2023-01-16
158,11732,49,IN,2021-01-04
159,11732,-46,OUT,2022-03-10
160,11732,491,IN,2022-04-28
161,3875,-9,ADJUSTMENT,2021-10-01
162,3875,41,IN,2021-04-18
163,3875,431,IN,2025-11-03
164,3875,-25,OUT,2021-06-24
165,3875,-100,OUT,2025-03-18
166,13132,-93,OUT,2024-07-24
167,19661,383,IN,2021-06-08
168,19661,-1,ADJUSTMENT,2025-06-22
169,19661,29,ADJUSTMENT,2022-04-06
170,19661,-23,ADJUSTMENT,2025-06-25
171,11213,26,IN,2022-03-06
172,11213,-2,OUT,2023-03-29
173,11213,315,IN,2022-11-18
174,8148,-61,OUT,2022-02-13
175,8148,318,IN,2022-01-05
176,8148,-85,OUT,2022-07-23
177,8148,-72,OUT,2024-06-19
178,8148,152,IN,2023-12-28
